dataset,dataset_type,variable,variable_label,package,fn,fn_url,resource1_text,resource1_url
ADAE,OCCDS,TRTSDT,Derive treatment start date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,TRTEDT,Derive treatment end date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,DTHDT,Derive death date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,EOSDT,Derive end of study date,admiral,derive_vars_merged,https://pharmaverse.github.io/admiral/reference/derive_vars_merged.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ADURN,Derive analysis duration,admiral,derive_vars_duration,https://pharmaverse.github.io/admiral/reference/derive_vars_duration.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDT,Derive analysis start date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AENDT,Derive analysis end date variables from datetimes,admiral,derive_vars_dtm_to_dt,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm_to_dt.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AOCCIFL,Derive occurrence flags: 1st occurrence of most severe adverse events,admiral,restrict_derivation,https://pharmaverse.github.io/admiral/reference/restrict_derivation.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,TRTEMFL,Derive treatment emergent flag,admiral,derive_var_trtemfl,https://pharmaverse.github.io/admiral/reference/derive_var_trtemfl.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,ASTDY,Derive start relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AENDY,Derive end relative day variable,admiral,derive_vars_dy,https://pharmaverse.github.io/admiral/reference/derive_vars_dy.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AENDTM,Derive analysis end datetime,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
ADAE,OCCDS,AENDTF,Derive analysis end date imputation flag,admiral,derive_vars_dtm,https://pharmaverse.github.io/admiral/reference/derive_vars_dtm.html,Template Example,https://github.com/pharmaverse/admiral/blob/main/inst/templates/ad_adae.R
