Year,Title,Conference,Presenter(s),Material
2024,"From Stowaway to Admiral, a R-iveting Tale of a Hierarchical Composite Endpoint's Journey from Idea to Dataset",PHUSE US Connect 2024 - Bethesda MD,Nicole Major,[Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PRE_AS02.pdf) [Paper](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PAP_AS02.pdf)
2024,Population Pharmacokinetic Analysis Data (ADPPK) Programming in {admiral} and the pharmaverse, PHUSE US Connect 2024 - Bethesda MD, Jeff Dickinson,[Poster](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/POS_PP01.pdf) [Paper](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PAP_PP01.pdf)
2024,{admiral} - from Open Source to Company Implementation, PHUSE US Connect 2024 - Bethesda MD, Ross Farrugia, [Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PRE_OS05.pdf) [Paper](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PAP_OS05.pdf)
2024,Bridging the Gap Between the pharmaverse and Company Internal Resources,PHUSE US Connect 2024 - Bethesda MD,Kangjie Zhang,[Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PRE_OS12.pdf) [Paper](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2024/Connect/US/Bethesda/PRE_OS12.pdf)
2023,"Eyes On the Prize – The Development of {admiralophtha}, an R Package for Ophthalmology ADaMs",PHUSE EU Connect 2023 - Birmingham UK,Edoardo Mancini,[Paper](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/Connect/EU/Birmingham/PAP_TT03.pdf) [Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/Connect/EU/Birmingham/PRE_TT03.pdf)
2023,{admiral} - from Open Source to Company Implementation,R in Pharma 2023,Edoardo Mancini,[Recording](https://www.youtube.com/watch?v=ZbV3E0_xrrI)
2023,Cross Industry Package Development,R in Pharma 2023,Stefan Thoma,[Recording](https://www.youtube.com/watch?v=M4L1PPMu0pU)
2023,Paving the Way for Clinical Submissions in R,PHUSE SDE - London UK,Declan Hodges,[Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/SDE/EU/London/PRE_London09.pdf)
2023,An overview of {admiral},PHUSE SDE - Summit NJ,,[Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/SDE/US/Summit/PRE_Summit03.pdf)
2023,{admiralonco},PHUSE US Connect 2023 - Orlando FL,Matthew Marino and Neharika Sharma,[Recording](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/Connect/US/Florida/REC_OS12.mp4) [Slides](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/Connect/US/Florida/PRE_OS12.pdf)
2023,Programming ADNCA using R and {admiral},PHUSE US Connect 2023 - Orlando FL,Jeff Dickinson,[Recording](https://phuse.s3.eu-central-1.amazonaws.com/Archive/2023/Connect/US/Florida/REC_OS09.mp4)
2022,Clinical Reporting in R,R in Pharma 2022,"Christina Fillmore, Ellis Hughes and Thomas Neitmann",[Workshop Recording](https://youtu.be/9eod8MLF5ys?si=T9_WwE-K8yGtZlOn)
2022,Pharmaverse Workshop, PHUSE US Connect 2022 - Atlanta GA,"Ross Farrugia, Alice Ehmann, Mike Stackhouse and Tad Lewandowski",[Slides and resources](https://github.com/pharmaverse/pharmaverse.workshop.phuseUS2022) (including `{admiral}` workshop slides from PHUSE EU Connect 2021)
2021,Introducing {admiral}, R in Pharma 2021,Thomas Neitmann and Ning Leng,[Recording](https://www.youtube.com/watch?v=N7Bw8c3D5fU)
